title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
Black Scar Blues,  Rising Tiger Films ,2015, Action , Crime , Drama, Leroy Nguyen,,Leroy Nguyen,  Edmond Shum,  Jen Barnard,0.005,US
The Grayhaven Maniac,,2015, Horror,,, Richard Donahue , Justin Williams (XV),Daniel Baker,  Candace Barnhill,  David Brown,0.002,
Bethlehem,  1019 Pictures ,2015, Comedy,,, Michael Malone (XII),,Rich Ragains,  Nickey Winkelman,  Cliff Edens,0.01,US
Can We Do It Ourselves?,  Witkowsky Media ,2015, Documentary,,, Patrik Witkowsky,,Gustaf Arrhenius,  Anna-Klara Bratt,  Noam Chomsky,0.01,SE
Werewolf Massacre at Hell's Gate,  INGY Films ,2015, Horror,,, James Baack,,Andrew Baack,  James Baack,  Raymond Benson,0.008,US
Welcome to Bridgetown,,2015, Documentary,,, Adam Thomas Smith (II),,Patton Oswalt,  Doug Benson,  Loren Bouchard,0.01,
Jessie,  Arehart Brothers Pictures ,2015, Drama , Family,, Andrew Arehart , Jack Arehart,Matthew Arehart,  Amy Cooper,  James Feeks,0.001,US
Wings of Victory: Keeping Our Warbirds Flying,,2015, History,,, Kevin Lorden,,Robert Brewster,  Rob Collings,  Jim Harley,0.01,
The Lucky Ones,  Zingara Pictures ,2015, Drama , Thriller,, Stephen Petrillo,,Cristina Matuozzi,  Charlie Gillette,  Eden Zane,0.008,US
Satori,,2015, Fantasy,,, Erica Schreiner,,Gökhan Girginol,  Frederic Etherlinck,,0.005,
Karski & the Lords of Humanity,  Apple Film Productions ,2015, Documentary,,, Slawomir Grunberg (I),,Vladimir Pozner,  Sergey Yurskiy,,0.35,PL
Lady Ganga: Nilza's Story,  Lumiere Media ,2015, Documentary,,, Frederic Lumiere,,Audrey Baldwin,  Michele Frazier Baldwin,,0.75,US
Love Letters,  Acting Out Studio ,2015, Horror,,, Patrick Hogan (XII) , Patrick Thomas Hogan,Daniel Allen,  Carter Babcock,  Patricia Babin,0.012,US
The Search for Count Dante,  Straight Out of A Comic ,2015, Action,,, Floyd Webb (I),,Jimmy Jones,  Gene LeBell,  Robert Wall,0.1,US
To Climb a Gold Mountain,  Crystal Sphinx Productions ,2015, Documentary , Biography , Drama, Alex Azmi , Rebecca Hu,Sam Yim,  Jennifer Chan,  Jason J Lai,0.125,US
Call Me Alice,,2015, Horror,,, Shane Schoeppner,,Calliway Callicott,  Matt Cho,  Robin Elotes,0.0005,
House of Shadows,  Providence Lyceum ,2015, Drama,,, Michael Iacobbo (IV),,Joe Michael Phillips,  Jami Tennille,  Suzanne McCormick,0.005,US
Max and Chase,  Emptyset Studios ,2015, Drama,,, Johnny Madness,,Brad Blumenkemper,  Micah Bounds,  Ali Briley,0.005,US
K9 Guardians,  IrondogK9 ,2015, Documentary,,, Paul Ludwig (IV),,Sarah Atlas,  William Cotton,  Ryan Davis,0.08,US
Campground: The Requel,  Studio 605 ,2015, Horror,,, Roman Jossart,,Anna Love,  Casey Weber,  Marla Van Lanen,0.01,US
Donors,  AboutFace Media ,2015, Horror,,, Omegia Keeys,,Shafayat Ahmed,  Christian Almodovar,  Nate Andrade,0.03,US
Three Months Time,,2015, Comedy , Drama , Romance, Brady Palubiski,,Paul Moroder,  Morgan Weisflog,  Anthony Mattias,0.00015,
Midnight Rain,  Nevermore Film Society ,2015, Drama,,, Adam R Jones,,Shannon Brown,  Amy Powell,  Brian Rooney,2.5,US
The Middle Ground,  Awakening Chaos Films ,2015, Drama , History,, Dallas Lee Blanton,,Dallas Lee Blanton,  Nathan Austin,  Angela Yonts,0.005,US
Why Am I So Fat?,  Words to Spare Productions ,2015, Documentary,,, T.C. Hale,,Jane Lynch,  Robb Wolf,  Kinna McInroe,0.025,US
El Lugar Mas Feliz del Mundo,,2015, Comedy,,, Soley Bernal,,Jorge Herrera,  Magdiel Ramirez,  Bismark Méndez,0.35,
Ambassadors for Mashiach,  The Eastern Gates ,2015, Documentary,,, Kevin Chamberliss,,Sid Roth,  Jonathan Bernis,  Raleigh Washington,0.15,US
How Randy Rhoads Met Ozzy,  PinkMermaid Productions ,2015,,,, Regina Russell Banali,,Dana Strum,,,0.002,US
Dreams of You & Me,  Snow Motion Films ,2015, Drama , Romance,, Angel Nieves (I),,Juan Javier Cardenas,  Christen Gee Celaya,  Raven Garcia,0.325,US
Marcelle,,2015, Documentary , Biography,, Islam Shamel,,Marcelle Matta,,,0.01,
Sam Smith: Dreams Come True,  A2B Media ,2015, Documentary,,, Sonia Anderson (I),,Sam Smith,  Whitney Houston,  Dr. Voice,0.15,GB
Jhumura,  Ultimax Production ,2015, Drama , History , Musical, Anindya Chatterjee (I),,Pradipkumar Chakrabarty,  Parthasarathi Chakraborty,  Partho Sarathi Chakraborty,0.1,IN
Inherit the Stars,  0Frame Production ,2015, Action , Drama , Romance, Keishi Suenaga,,Caitlin Coker,  Satoko Enmei,  Tomoto Gushi,0.015,JP
Probable Robot,  Obscurely Irrelevant Productions ,2015, Comedy , Sci-Fi,, Karyn Ben Singer,,Jonathan Medina,  Giselle Marie,  Emily Decker,0.01,US
Hobbes & Phil V.S. Zombies,  RazorsEdge Films ,2015, Comedy,,, Trevor Styles,,Lindsey Brill,  Gary Busby,  Chris Candelaria,0.008,US
SMH the Movie,  GA Slim Films & Productions ,2015, Comedy,,, Norris Gresham,,Adegoriola Abodunrin,  Dequan Allen,  Lauren Coleman,0.01,US
Lost Grrrls: Riot Grrrl in Los Angeles,  Empty Page Productions ,2015, Documentary,,, Vega Darling,,Madigan Shive,  Chelsea Starr,  Wendy Anne Eller,0.005,US
If God Wants Yuli,  ColorLab Films ,2015, Documentary,,, Jean Jean (II),,Eliezer Encarnación Díaz,  Jean Jean,  Julia Jean,0.02,DO
Monster Madness: The Counter Culture to Blockbusters,  JBH Video ,2015, Documentary,,, Jeff Herberger,,Linda Harrison,  Robert Quarry,  Virginia Wetherell,0.025,US
88 Days in the Mother Lode: Mark Twain Finds His Voice,  This 'n That Films ,2015, Documentary , Adventure , Biography, John C. Brown (I) , Bert Simonis,Drew Boudreau,  James Caron,  Vic Fischer,0.021,US
Thirsty the Movie,  Booker Brothers Productions ,2015, Romance,,, Michael Tappler,,Judi Blair,  Chip Days,  Kevin Dunbar,0.25,US
Feeling Goode,  CannonVision Productions ,2015, Drama,,, Josef Cannon,,Josef Cannon,  Pete Kasper,  Jenn Perkins Stephens,0.1,US
Limit,  Sticks and Stones Productions ,2015, Romance,,, Brittney Briggs,,Manu White,  Michael Wetherbee,  Umi Shakti,0.005,US
Five Crowns,  Saint Studios Films ,2015, Fantasy,,, Curtis Everitt,,Cory Bailey,  Amelia Blue,  Nathan Bray,0.005,US
Una gringa para cenar,  Pot Still Productions ,2015, Comedy , Romance,, Alejandro Trigos (I),,Alain Antunez,  Carlos Hoeflich,  Renne Antunez,0.012,MX
Jezebeth 2 Hour of the Gun,  SGL Entertainment ,2015, Action , Adventure , Horror, Damien Dante,,Ana Santos,  Drake Mefestta,  Gracie Serrano,0.4,US
The Lake Drain,  Performance Gallery Films ,2015, Drama , Fantasy , Sci-Fi, Jerry Griffin (I),,Jerry Griffin,  Shaw Williams,  Jim Bob Meigs,0.005,US
Wonder Woman vs. Poison Ivy,  Anastasia Pierce Productions ,2015, Adult,,, Anastasia Pierce,,Kendra James,  Anastasia Pierce,,0.015,US
World 1-1,,2015, Documentary,,, Jeanette Garcia (III) , Daryl Rodriguez,Colin Moriarty,  Nolan Bushnell,  Patrick Scott Patterson,0.015,
Ma plus courte histoire d'amour,  Film Factory ,2015, Comedy , Drama,, Karin Albou,,Patrick Mimoun,  Karin Albou,  Mazarine Pingeot,0.3,FR
Table 47,  Double Play Films ,2015, Crime , Drama , Mystery, Jeff Kingery (I),,James Andre,  Batya Cruz,  Ryan Dinneen,0.065,US
The Blood Kill Moment,"  Hill, Hill, Hail Productions ",2015, Drama,,, John Hill (I),,Mack Hail,  John Hill," "" Michael ONeal""",0.009,US
Contract Killers,  AMRA Pictures Entertainment (APE) ,2015, Thriller,,, Desi Singh,,Robert Brennen,  Chris Capobianco,  Carlton Diggs,0.15,US
The Last Great Circus Flyer,  Timber Island Productions ,2015, Documentary , History,, Philip Weyland (I),,Paul Binder,  Armando Farfan Jr.,  Renanto Fernandes,0.09,US
Waiting,  City People Films ,2015, Documentary , Drama,, Cristian Piazza (II),,Naseeruddin Shah,  Kalki Koechlin,  Jennifer Antony,0.09,US
Triggerfish,,2015, Comedy , Music,, Mike Viney,,Davis Osborne,  Paul Gibson,  Candi Clare,0.2,
Little Stars,  Moonshine Movies ,2015, Documentary,,, Mike Hill (III),,David Suchet,  Nina Landis,,0.5,AU
My Bookstore,  At Last Production ,2015, Comedy,,, James Watkins (XIII),,Henry Amando,  Ryan Atwood,  Brendan Baker,0.008,US
Quantum Wisdom,  Group Sanctus ,2015, Documentary,,, Nick Mendoza (X),,Matthew Anderson,  Patrick Cameron,  Peter Fenwick,0.2,US
Clerical Errors,  Blended Planet Pictures ,2015, Comedy,,, David Matthew Weese,,Donny Offerle,  Natalie Weese,  Larry Bower,0.226,US
Spilt Blood,  Breaking Fate Entertainment ,2015, Fantasy , Horror , Sci-Fi, Willy Adkins,,Anastasia Morrigan,  Phranque Wright,  Wolf McKinney,0.002,US
Hemingway,  Believe Entertainment ,2015, Documentary,,, Don Charles McGovern,,Hemingway,,,0.5,US
Grave Reality,  3:16 Productions ,2015, Horror,,, Oliver Tosh,,Erika Avery,  Elijah Beckett,  Kelli Cayman Cozlin,0.012,US
Electrolyte,  EU Films ,2015, Action,,, Lauren Havard (II),,Scott Corn,  Nathan Irwin,  Derral Reynolds,0.007,US
Credit for Murder,  Mockofiction ,2015, Documentary , Crime , Thriller, Vladi Antonevicz,,Vladi Antonevicz,  Dimitri Demushkin,  Dmitry Rumyantsev,0.85,IL
The Devil's Call,  New Nexus Cinema ,2015, Horror,,, Jordyn Kieffer , Marc Mora,Nathan Bielawski,  Joshua Plum,,0.01,US
Dinner Is Served,  Tirado Entertainment ,2015, Comedy,,, Joey Tirado,,Jeff Brody,  Brooke Lindley,  Joey Tirado,0.01,US
Murder Book,,2015, Thriller,,, Juan C. Vazquez (II),,Heather Williams,  Joel Clark Ackerman,  John Alexenko,1,
Reclaiming Friendship Park,  Brazen Image Productions ,2015, Comedy , Drama,, Daniel Holland (VI),,Phillip Andre Botello,  M. Steven Felty,  Danielle Rizzo,0.05,US
Pilchuck: A Dance with Fire,  Fidget Films ,2015, Documentary , History,, John Forsen,,Jeff Bridges,  Jamie Carpenter,  Dale Chihuly,0.325,US
Roshambo,  Square8 Productions ,2015, Comedy,,, David W. Brewer,,Cristina Mullins,  Dean Hill,  Marshall Manley,0.02,US
Rapacious,  Well of Souls Productions ,2015, Crime,,, David Andrew Hall,,Tony Lee Gratz,  Jose Santiago,  Jaclyn Francine,0.01,US
Juan Meisen ha muerto,,2015, Drama,,, Felipe BergaÃ±o,,Kevin Borensztein,  Benjamín Coehlo,  Felipe Grieben Saubidet,0.015,
October,  Angcinema Films ,2015, Horror,,, Stephen Ang (I),,Stephen Ang,  Jeffrey Johnson,  Jamie Larson,0.0002,US
Quiet Courage,  Best Gurl Entertaiment in association with Auburn University ,2015, Documentary,,, Thom Gossom Jr.,,James Owens,  Terry Henley,  Gloria Owens,0.2,US
Shine!,,2015, Family,,, William Butler (I),,Jenn Pinto,  Jojo Gomez,  Dusty Alvarado,1,
BLDNG Movie,  Polymorph Productions ,2015, Horror,,, Tawd B. Dorenfeld,,Tyler Bradberry,  Victoria de Los Angeles,,0.1,US
Bish,,2015, Drama,,, Kishor Mahmood,,Chandni,  Dolon Dey,  Prabir Mitra,0.015,
Steve: Death Collector,  Razor Sharp Studios ,2015, Horror,,, Missy Dawn,,Kennie Bass,  Lindsey Davis,  Missy Dawn,0.002,US
Klohn,,2015, Horror , Sci-Fi,, Share Cherrie,,Zinnia Sayegh,  Jacob Baeza,  Chris Morrissey,0.08,
This Holiday,  Grey Pictures ,2015, Drama,,, Nikki Paige,,Roman Anthony,  Jovana Brush,  Gabriela Castillo,0.01,US
Tiger Lily,  Hahn Films ,2015, Action , Drama , Thriller, Matthew Hahn (II),,Tiffany Browne-Tavarez,  Blaine Pennington,  Rich Armstrong II,0.003,US
Sensory Deprivation,  Dzyn Indie Films ,2015, Comedy,,, Shawn Raynor (I),,Shazam Shameer,  Kimberly Dolcin,  Gloria Alexander,0.005,US
Shitcago,  Onion Film Productions ,2015, Comedy , Drama,, Nick Alonzo,,Jeremiah Aviles,  Gregory Garibay,  Ariana Romero,0.0005,US
Crack House of the Dead,  Sunrayz International Films ,2015, Horror,,, Jason Toler,,Steve Crest,  Marcus Hanftaler,  Katarina Law,0.175,US
Psychotica,,2015, Crime , Drama , Thriller, Christopher Atkinson (V),,Ethan Nagle,  Chris Estes,  Erin Reinhard,0.005,
Queers of the Western Zombie Apocalypse,,2015, Comedy , Horror,, James Easter Bradford,,Ellen Bischoff,  James Easter Bradford,  Kari-David Collins,0.5,
Zion,  DLF Production ,2015, Drama,,, Dawit Legesse , Benyam Worku,George Wondossen,  Melat Nebiyou,,0.05,ET
Censored R18,  Salty Productions ,2015, Comedy,,, William Sasha Perry,,Maui,,,0.000005,NZ
Jongo Love: The Movie,  Well Told Story ,2015, Thriller,,, Emma Bodger,,Stella Situma,,,0.05,KE
A Killer Serve,  RubyAndromeda Productions LLC ,2015, Crime , Drama , Sport, Andrew Pilkington (I),,Paul Kandarian,  Sean McDonald,  Ana Bess Moyer Bell,0.04,US
Welkom,  AntÃ­doto Films ,2015, Comedy , Drama , Thriller, LucÃ­a FernÃ¡ndez Cordano , Rodrigo Spagnuolo,Sergio IJssel,  Orlando Manuel do Brito,  Marjolein Van Panhuys,0.1,UY
In This Corner,  AHighHeel Production ,2015, Action,,, Delia Ruffin,,Cely Alecia,  Oliver Burbage,  Tc Caldwell,0.005,US
Orange Peel,  W(*_+)nking Productions ,2015, Animation , Drama , Fantasy, Celia Hemken,,Celia Hemken,,,0.025,US
The Challenger 7: Broken Hope,,2015, Action,,, Andrew Di Pardo , Aramis Pacitto (I),Aramis Neal Pacitto,  Niki Tassioulis,  Andrew Di Pardo,0.01,
The Chrysalis Tide,  Tandem Media ,2015, Mystery , Romance,, Jason Radcliffe,,Desiree Markella,  Joshua Loren,  Joshua Mascareñas,0.2,US
The Silver Moonlight,  Entertainment Marketing Communications ,2015, Drama , Horror , Musical, Evgueni Mlodik,,Lindsay Reynolds,  Eric Calderon,  Christopher Robert Gray,0.025,US
Fruit Juice,  Jonny Santana Pictures ,2015, Drama,,, Jonny Santana,,Romario Lopez,  Christian Padilla,  Jeremy Lovato,0.001,US
On a Long Breath,  3DLIZED ,2015, Documentary,,, Philippe Gerard,,Pierre Frolla,,,0.6,FR
Marks,,2015, Action , Drama,, Gabriel Sanchez (X),,Brandon Alston,  Tim Campione,  Aaron Harris,0.004,
Red Toast II: The Search for More Money,  Eamodec Productions ,2015, Adventure , Comedy , Sci-Fi, Eamon Hegarty,,Rachael Elane Carmichael,  Kelly Eby,  Eamon Hegarty,0.0002,US
Covered: Alive in Asia - Live Concert,  RGM NewBreed ,2015, Musical,,, Micah Bickham,,Yolanda Adams,  Israel Houghton,  Jonathan McReynolds,0.5,US
#Hommes: True Story of the Thieves' World,  BB3 Media ,2015, Documentary,,, Sa Nia,,Nikolay Chernyshev,  Vassia Diamond,  Gogi Ishkhneli,1,FR
Among Wolves,,2015, Action , Crime , Drama, Jeremiah Miller (V),,Pat Anthony,  Erik Armbricht,  Henry Bendel,0.02,
Ditches,  RÃ­o Azul Films ,2015, Crime , Thriller , Western, Francisco JoaquÃ­n Paparella,,Diego Alonso Gómez,  Augusto Brítez,  Cuca Lubones,0.06,AR
10 Minutes,  Life With Say ,2015, Action , Drama , Thriller, Saquan Jones,,Lamar K. Cheston,  Elijah Coleman,  Maya Rose De Lucia,0.003,US
The Frogmarch,  Blanket Fort Films ,2015, Drama,,, Jonathan D'Ambrosio (II),,Matthew C. Flynn,  Caroline Bloom,  Danny Schoch,0.02,US
Untenable: Onverdedigbaar,,2015, Drama , Romance,, Nele Mertens,,Nele Van den Ende,  Kevin Van Doorslaer,  Noah Zeeuw,0.015,
Within Madness,  Anatomica Productions ,2015, Drama , Horror , Thriller, J.M. Stelly,,Kaci Champion,  Jessica Dickerson,  Keegan Macy,0.005,US
Victims,,2015, Thriller,,, Cameron Cook (VI),,Claire Crossland,  Jonny Hirst,  Geraldine Moloney Judge,0.008,
Charlie and Wendy,  BigWProductions ,2015, Comedy , Drama , Romance, Matt Watkins (I),,Elena Saurel,  Chris Bostrom,  Nich Kauffman,0.05,US
"Asburried in Time, a Greeting Through Asbury Park's Unique History",  Machete Media Productions ,2015, Documentary,,, Bridget Machete,,Helen Chantal-Pike,  Daniel Wolff,  Ed Johnson,0.04,US
Preacher Man,  Woodson Films ,2015, Drama,,, C.L. Woodson III,,C.L. Woodson III,  Anita Nicole Brown,  Lemmon Harris,0.085,US
Bad Fruit,  Happy Wife ,2015, Horror,,, Kimberley Crossman,,Katie Wilbert,  Kimberley Crossman,  Paul Karmiryan,0.01,US
Witness,  Theological ,2015, Drama,,, Chen Xu (V),,Derek Redmond,  Jim Redmond,  Izidor Ruckel,0.003,US
An American Epidemic,  Poni TV ,2015, Documentary,,, Michael DeLeon (III),,Carmen Ambrosino,  Lisa Brandy,  Lori Ann Brock,0.3,US
Your Holy Eyes,,2015, Drama,,, Yunmo Yang,,Quincey Krull,  Rito Balducci,  Kevin Craig Wesley,0.3,
Chronicles of the Living Dead,  Fourth Castle Media ,2015, Documentary,,, Dino Castelli , Sean King (I),J.R. Bookwalter,  Patrick Devaney,  Karl Hardman,0.05,US
Pedro E. Guerrero: A Photographer's Journey,  Paradigm Productions ,2015, Documentary,,, Yvan Iturriaga , Ray Telles,Pedro E. Guerrero,,,0.41,US
First Kill Redemption,  Vision Films ,2015, Action , Crime,, Robert Urich (III) , DTeflon,Mark Taylor," "" David Shark Fralick""",  DTeflon,0.75,CA
Voyna polov,  Rim ,2015, Comedy,,, Kirill Kuzin,,Sabina Akhmedova,  Anatoliy Belyy,  Aleksey Demidov,2,US
Monster Tails,  Durango Digital Entertainment,2015, Comedy,,, Anne Carr (I),,Matthew S. Moffett,  David M. Kennedy,  Linara Washington,0.037,
The Ragpicker's Dream,"  ""Our Todd"" Productions ",2015, Comedy , Music , Romance, Ryan Willer,,Ryan Willer,  Laura Smith Mauldin,  Johanna Burnett,0.001,US
Novella,  New Found Media ,2015, War,,, Daniel Troyer,,Brigham McNeely,  Danny M. Gray,  Jeff Kidd,0.015,US
Payton's Burden,  A Cut to the Chase Productions ,2015, Drama , History , Romance, Chase Dudley (I),,Liberty Fraysure,  Chase Dudley,  Patrick Alred,0.01,US
Village Escape. Love Affair,  Nurtas Production ,2015, Comedy,,, Nurtas Adambay,,Nurtas Adambay,,,0.2,KZ
Devour,  Reference Frame ,2015, Drama , Romance,, Malik Conard-Sow,,Jay Awesome,  Linda Elizabeth,  David Sedgwick,0.01,US
Millionaire Man,  AGA FILMS ,2015, Drama,,, Aaron Gregory Austin,,Adam Syron,  Geno Romo,  Jon James,0.01,US
The Staring Man,  Brett McGinnis Productions ,2015, Documentary , Thriller,, Brett McGinnis (I),,Deirdre Koczur,  Michael Koske,  Robin Lavaron,0.006,US
Isle of Doom,  F5150S Films ,2015, Horror,,, Farrukh Sheikh (I),,Kashif Sheikh,  Jaye Alexander,  Gwendolyn Shannon,0.002,US
Belle of the dead,,2015, Horror,,, Chad Dalberg,,Jason Anderson,  Carson Angel,  Mark Barakat,1.2,
The Scapegoat,  KitCat Films ,2015, Drama , Thriller,, Cathy Beasley,,Edward Lewis French,  Alex Rendall,  Celine Abrahams,0.012,US
Dheeyan Marjania,  Indo American Motion Pictures ,2015, Drama,,, Ashok Tangri,,Simran Sangha,,,0.245,US
Unfolded,  Arrowhead Productions ,2015, History , Mystery,, Bryen Lenis , Avery Myers,Megan Brown,  Tiffany Dion,  Chae Humphrey,0.02,US
Killers at Play,  Cards-at-Play Films ,2015, Crime , Horror , Thriller, Larry Degala,,Stephen Manley,  Dan Hewitt Owens,  Steve Dressler,0.123,US
Daryl Hall and John Oates Live in Dublin,  Eagle Rock Entertainment ,2015, Music,,, Joss Crowley,,Daryl Hall,  John Oates,  Shane Theriot,0.35,US
Guerra do Paraguai,  The History Channel Latin America ,2015, Documentary,,, Matheus Ruas,,Sapiran Brito,  Jairo Mattos,  Fabio Nassar,0.15,US
The Pursuit of Endurance,  Puzzle Media ,2015, Adventure,,, Bertrand Delapierre,,Oliver Bainbridge,  Francois Bernard,  Géraldine Fasnacht,0.5,FR
Normandy Is My Name,  Mountain Air Productions ,2015, Comedy , Family , Romance, Jim Russell (XV),,Christie Courville,  Melissa Steele,  Doug Dowell,0.5,US
Illusionism,  Jenny Lynn Productions ,2015, Thriller,,, Tony Picciotti (I),,Sammy Hickman,  Joan Chak,  Julie Zimmer,0.01,US
Behind the Mask: Del the Patriot Wilkes,  Ellbow Productions ,2015, Documentary,,, Michael Elliott (XIX),,Bill Apter,  Marcus Bagwell,  Eric Bischoff,0.01,US
Icrush the Movie,  Grade A Media Productions ,2015, Comedy,,, Derrick Williams (XXXI),,Morgan Anderson,  Avery Campbell,  Casey Cooley,0.01,US
Love and Madness,,2015, Drama,,, Hasan Najafi,,Bahare Afshari,  Elham Charkhande,  Zargham Ostadi,0.113,
Project Z,  GIFilms ,2015, Action,,, Richard Gonzalez (X),,Richard Gonzalez,  Karen Rose,  Shawn Lathrop,0.001,US
Camp William,  RYZE Studios ,2015, Drama,,, Marcus Aubin (I) , Nicholas Klesmith (II),Trez Gee,,,0.002,US
Chewing,  Self Destructive Films ,2015, Documentary,,, Wes Tank,,Mike Eagle,  Regan Farquhar,  Rory Ferreira,0.005,US
And We Were Young,,2015, Documentary , Animation , History, Andy Smetanka,,Brock Gnose,  Kyle McAfee,  Roger Hedden,0.032,
City of Quartz,,2015,,,, Francisco Romero (XIII),,Melody Parra,  Joey Puerto,  Magaly Castellanos,0.01,
True Fear: The Making of Psycho,  JBH Video ,2015, Documentary,,, Jeff Herberger,,Brendan Biondi,  Sterritt David,  Lee Doll,0.025,US
Hell Night: Devil's Pass,  Filmcentric Circus ,2015, Horror,,, Rodney Cox,,Lisa Kwon,  Savannah Schafer,  Rodney Cox,0.1,US
Lets Shake on It,  See It Be It Films ,2015, Comedy,,, Cornell Ford,,Shaquita Blanks,  William Anderson,  Jarrett Glover,0.01,US
The Comeback Kid,,2015, Drama,,, Angie Browne (I) , Clovis Ong,Justice Nnanna,  Rob Moore,  Lisa Reene,0.005,
Snow White: The Mysterious Father,,2015, Animation , Family,, Ben Zhao (II),,Xupeng Cao,  Mingyu Gao,  Mengmeng Yan,6,
Logic on Fire,  Media Gratiae ,2015, Documentary,,, Matthew Robinson (XXIII),,D. Martyn Lloyd-Jones,  Ann Beatt,  Elizabeth Catherwood,0.2,US
The Gorda,  Family Curse Productions ,2015, Western,,, James T. Warbington,,Kevin Ballenger,  Don Cano,  William Drake,0.016,US
Everything Doesn't Suck,  Bacon Samurai Productions ,2015, Documentary,,, Devin Pike (I),,Miranda Bailey,  Jason Brubaker,  Jason Connell,0.01,US
Cast Party,  Split/Person Productions ,2015, Comedy , Drama,, Tyler A.M.,,Jeremy Bent,  Alex Goldman,  Lauren Lapkus,0.003,US
Tainted Love,  Love Can Make A Difference ,2015, Biography,,, Rachel Anderson (XVIII),,Elizabeth Brantley,  Azrielle Brooks,  Ann Cabano,0.004,US
Holly,  HD Productions Media ,2015, Action , Crime , Thriller, DeShawn Hill,,Kelsey Adler,  Quinn Fisher,  Derek Hahn,0.002,US
Tracing Outlines,  2nd State Productions ,2015, Documentary,,, Cayce Mell,,Richard Armstrong,  Chaim Koppelman,  Dorothy Koppelman,0.025,US
"Jack Pierce, the Maker of Monsters",  November Fire Recordings ,2015, Documentary,,, Strephon Taylor,,Nikki Blakk,  Ernie Fosselius,,0.02,US
